transaction_amount,transaction_time,location_distance,cardholder_age,merchant_risk_score,device_trust_score,is_international,is_fraud
3870.91,0.81,654.45,47.0,72.07,73.61,0,1
2197.2,16.39,1988.78,60.0,71.12,8.04,0,0
4293.7,22.81,2300.58,29.0,20.27,24.27,1,1
3488.35,19.9,499.91,43.0,3.67,88.59,0,1
475.42,6.65,131.57,48.0,30.38,57.69,0,0
4878.23,1.28,1318.76,60.0,15.71,4.66,0,1
3806.89,22.57,2322.07,73.0,39.58,70.43,1,0
3931.39,22.49,1952.34,66.0,97.93,50.67,1,1
644.93,12.78,2105.65,53.0,18.11,85.45,1,0
2254.68,15.42,1208.52,51.0,31.89,68.24,0,0
1857.14,11.1,704.84,52.0,72.51,0.44,1,1
4634.19,10.07,1595.34,49.0,50.92,20.57,0,0
3221.11,2.87,613.1,21.0,4.39,25.8,1,0
4114.69,2.32,2178.69,58.0,16.17,70.22,0,1
2219.85,5.59,590.9,59.0,93.52,50.93,0,0
1140.06,20.08,873.79,47.0,10.32,74.74,1,0
2775.15,3.5,1519.63,68.0,63.51,51.29,1,0
323.77,5.44,1460.13,56.0,79.23,32.74,0,1
4139.02,13.17,1802.55,39.0,26.54,10.37,0,0
3160.16,5.16,1312.33,19.0,72.51,20.26,0,0
3791.65,3.92,2758.42,21.0,16.99,40.08,1,0
1775.86,13.52,2519.8,38.0,28.48,55.15,0,0
4853.64,8.83,2637.34,44.0,31.18,93.86,0,1
4466.14,15.03,1888.55,28.0,99.64,23.97,0,0
3893.03,21.89,1905.02,29.0,21.46,66.61,0,0
977.22,3.62,1827.6,31.0,12.92,15.25,1,1
2336.27,21.92,1304.65,62.0,92.57,71.38,0,1
223.8,21.66,966.32,62.0,16.19,1.13,1,0
775.68,19.9,1776.01,40.0,87.93,65.59,1,0
3416.83,15.15,76.6,28.0,65.05,16.32,0,1
3725.09,14.88,22.37,24.0,57.69,18.03,1,0
4837.71,15.34,2554.93,23.0,75.13,55.89,1,0
1632.5,16.57,139.27,40.0,72.6,37.54,1,0
1855.45,0.4,1574.39,21.0,11.05,47.13,0,0
2350.43,22.99,1844.96,37.0,99.95,30.89,0,0
951.41,14.05,594.51,73.0,94.19,95.35,1,0
653.96,18.76,2687.19,47.0,89.66,29.07,0,0
2381.15,9.05,570.29,65.0,62.23,54.2,0,0
1138.41,0.3,2653.54,25.0,52.28,85.44,1,1
3350.72,12.23,2288.97,33.0,53.63,66.42,0,0
2188.57,12.17,722.23,72.0,1.49,32.28,1,0
4164.23,10.49,452.23,40.0,49.95,55.24,1,0
3502.82,8.15,948.7,55.0,62.38,8.3,0,0
1565.27,6.0,1193.85,74.0,65.87,54.57,1,0
4162.14,12.66,737.35,49.0,33.21,43.14,1,0
4024.8,9.01,2996.67,35.0,47.13,75.79,1,0
1940.45,23.28,688.96,48.0,63.63,84.79,0,0
1445.2,4.15,2491.9,21.0,42.83,19.96,1,0
3414.07,7.67,477.35,24.0,96.21,8.15,1,1
703.06,7.06,2940.73,18.0,70.54,39.06,1,0
1003.54,13.04,676.57,68.0,0.13,53.42,0,0
41.77,11.98,1265.07,56.0,2.33,37.68,1,0
3935.69,15.45,1675.69,35.0,69.03,62.86,0,0
3325.93,22.8,360.86,31.0,41.26,50.57,0,0
3527.3,6.85,2450.46,57.0,83.95,93.66,1,0
3904.74,16.63,824.06,70.0,17.3,40.94,0,0
2297.28,0.6,1647.81,35.0,1.38,8.25,0,0
2845.86,6.3,1648.9,36.0,38.81,30.19,1,0
703.29,11.13,1807.92,67.0,73.61,60.59,0,0
577.08,0.74,166.46,69.0,97.17,25.6,1,0
3343.67,14.82,505.86,70.0,88.37,26.9,0,0
2358.13,16.28,483.58,35.0,48.41,33.96,1,0
2828.35,17.92,906.15,25.0,81.28,74.61,1,0
3826.17,12.4,434.74,43.0,7.03,94.01,0,0
3175.42,14.49,2765.76,35.0,57.23,35.04,1,1
2770.13,9.51,1538.86,68.0,92.43,19.55,0,0
2798.24,0.99,1870.73,20.0,39.64,42.06,1,0
1523.23,2.4,1072.46,54.0,96.01,35.18,0,0
158.94,15.72,828.74,70.0,22.07,99.0,1,0
2186.4,23.89,1509.53,74.0,10.56,46.39,1,1
1076.85,0.38,882.97,55.0,52.48,67.93,0,0
2045.6,13.38,1030.94,72.0,90.72,91.38,0,0
4267.75,18.02,1358.25,22.0,31.13,62.91,1,1
1173.53,19.84,1517.2,38.0,80.02,24.94,1,0
296.22,13.08,2952.94,18.0,16.92,60.74,1,1
1410.51,14.88,669.97,74.0,74.56,40.19,0,0
1471.5,16.72,1463.93,69.0,55.7,42.23,1,0
3311.27,20.62,448.54,20.0,17.5,97.93,0,0
2787.38,2.93,1050.0,19.0,71.81,27.86,1,1
3920.57,22.23,2151.93,39.0,71.38,46.89,1,1
3323.25,0.62,523.39,33.0,51.54,15.99,1,1
2034.9,20.07,1744.05,66.0,22.55,17.85,0,0
4071.03,1.84,1250.1,27.0,13.23,60.35,0,0
839.03,4.67,154.74,63.0,95.73,75.1,1,0
118.45,0.09,2799.23,50.0,65.58,63.65,0,0
454.79,10.69,1240.81,40.0,80.92,32.93,0,0
3613.18,8.02,2351.78,26.0,69.7,5.96,0,1
2312.08,3.98,1248.94,75.0,82.95,47.03,1,0
810.55,10.83,2812.08,53.0,16.25,50.43,0,0
2507.72,9.66,871.41,43.0,49.7,77.07,1,1
765.8,18.42,1236.69,39.0,66.71,64.03,0,0
3483.12,21.44,2276.59,70.0,10.34,87.13,1,0
2233.55,15.66,1031.0,65.0,15.0,78.3,0,0
1908.2,2.99,1093.07,64.0,63.4,36.59,0,1
1511.05,7.09,2984.47,53.0,86.87,63.22,1,0
3153.26,21.92,1666.84,69.0,66.04,74.73,0,1
1812.25,2.13,2068.14,35.0,3.62,95.69,0,0
442.81,9.76,1930.39,58.0,97.04,42.24,1,0
594.44,22.62,2483.77,41.0,13.95,64.83,1,0
4809.68,22.82,2585.48,52.0,23.26,39.27,1,1
4543.36,9.87,1689.77,75.0,97.5,73.78,0,1
3500.04,16.02,883.67,74.0,77.1,91.2,1,0
1333.02,10.96,68.4,47.0,93.66,91.92,0,0
4846.04,18.08,1843.21,51.0,80.66,15.71,1,0
3894.86,0.76,2476.41,69.0,65.17,20.41,1,0
3585.87,3.46,1351.62,74.0,28.46,75.49,1,1
2249.56,14.74,494.12,62.0,32.69,63.1,1,0
1364.85,5.58,864.25,22.0,94.73,90.51,1,0
486.47,15.99,1529.97,36.0,86.06,31.38,0,0
4513.5,8.43,2510.04,69.0,35.95,84.8,1,0
2281.6,21.28,515.26,62.0,37.33,68.38,1,0
1015.81,19.66,1836.45,60.0,29.77,19.55,1,1
1533.25,11.83,2260.11,56.0,32.61,12.65,0,0
2898.2,18.55,2808.14,42.0,86.07,70.27,1,1
887.98,6.51,350.11,41.0,1.05,15.85,0,0
4283.79,11.86,2779.17,64.0,43.61,79.43,1,1
3793.81,4.74,1804.4,35.0,94.28,55.71,1,1
3598.72,20.66,2300.1,57.0,54.26,47.69,1,0
2163.3,19.75,161.32,59.0,45.04,27.55,1,0
3138.41,21.65,1518.44,66.0,31.24,98.38,0,0
2922.57,21.06,1867.89,36.0,7.39,72.22,0,0
3250.98,23.03,920.5,60.0,22.45,77.81,0,0
426.8,5.48,1294.95,24.0,9.05,76.87,1,0
2081.96,22.36,1662.89,26.0,12.67,58.4,1,0
212.86,13.71,1657.64,42.0,16.35,93.97,1,0
2472.48,10.14,125.58,21.0,30.2,58.38,1,0
1652.66,13.45,1318.45,72.0,1.1,52.0,1,1
726.9,8.22,641.45,69.0,95.01,27.37,0,0
521.5,6.93,2750.09,21.0,12.38,28.17,1,1
2940.28,5.79,2929.74,66.0,38.31,73.69,1,1
857.11,1.98,898.94,47.0,87.95,33.48,0,0
4625.97,11.92,525.56,58.0,10.66,72.87,1,0
2907.4,21.31,658.51,69.0,48.36,95.27,1,0
1737.61,15.12,1433.26,51.0,84.48,43.93,1,1
2956.62,12.5,2623.52,25.0,55.7,9.73,1,1
118.91,10.29,1500.11,18.0,21.03,66.65,1,0
4793.0,11.15,166.18,46.0,73.55,0.95,0,1
2414.11,5.02,119.66,72.0,68.13,78.7,0,0
3914.76,19.75,682.17,51.0,36.22,52.57,1,0
418.24,4.76,2528.31,39.0,4.63,48.97,0,0
2435.86,17.2,1864.44,20.0,0.79,56.94,1,0
2456.08,18.24,1688.87,70.0,82.54,51.64,0,0
4689.44,13.8,956.91,37.0,32.16,32.38,1,0
2860.78,20.71,2788.28,58.0,13.78,28.15,1,0
2370.08,6.99,993.53,58.0,51.86,41.53,1,1
1338.54,21.16,2504.83,32.0,92.08,89.49,0,0
1661.19,17.51,2687.71,22.0,0.85,13.54,1,0
2605.76,19.17,1450.01,40.0,5.61,32.48,1,0
2197.36,15.95,2682.87,36.0,41.7,19.23,0,0
112.95,20.31,830.41,58.0,67.6,42.71,1,0
4132.33,23.83,1975.3,65.0,47.61,13.35,0,0
4481.32,10.08,263.89,31.0,89.75,76.08,1,1
705.54,19.53,1421.8,48.0,4.41,10.35,0,0
2772.41,17.87,652.0,20.0,34.01,66.53,1,0
547.34,10.87,188.29,30.0,35.13,26.77,1,0
3362.84,22.25,11.18,61.0,34.01,47.22,1,0
1409.76,9.47,974.26,63.0,48.77,20.0,1,0
3298.82,13.57,1768.59,62.0,79.06,73.02,1,1
3636.34,2.54,1365.69,26.0,31.79,94.83,1,0
3844.39,5.42,905.31,49.0,74.45,22.17,0,0
543.17,20.18,2973.6,42.0,14.65,95.32,1,1
4580.48,9.52,2818.58,75.0,56.07,32.53,0,0
1154.92,9.46,376.96,55.0,37.51,55.78,1,0
191.88,5.9,1245.32,71.0,53.92,70.16,1,0
2776.49,11.8,1946.54,26.0,10.77,19.93,1,0
1857.76,19.34,2200.47,44.0,95.35,44.48,0,0
4149.8,21.48,1099.12,62.0,90.62,6.78,0,0
4042.22,1.68,2238.85,39.0,82.64,69.71,1,0
1589.11,13.8,372.45,54.0,89.28,41.66,1,0
4764.73,11.21,995.44,47.0,14.67,89.16,0,0
1458.13,14.74,2149.3,75.0,50.37,27.4,0,0
2577.71,10.73,1877.05,28.0,31.79,92.36,1,0
1283.55,9.57,2511.63,71.0,88.74,14.1,1,0
4680.54,11.33,140.57,41.0,18.94,60.7,0,0
827.22,13.97,523.18,45.0,21.99,30.78,0,0
229.33,12.02,145.48,48.0,68.67,18.18,1,1
2178.31,11.33,576.34,33.0,8.89,9.39,0,0
4961.92,19.63,12.85,73.0,73.24,65.56,0,1
4458.93,17.9,1512.63,70.0,26.81,23.32,0,1
3744.3,8.19,1584.94,73.0,66.09,57.28,1,1
4454.51,19.21,1973.68,75.0,87.3,97.94,0,0
4467.77,20.49,1154.74,56.0,60.96,31.6,0,0
2596.7,3.68,9.62,44.0,21.27,3.49,0,0
1583.07,13.98,2021.67,66.0,4.92,14.28,1,0
3861.2,6.85,162.87,19.0,4.46,11.93,1,1
3310.0,17.74,2598.51,66.0,8.88,46.33,0,0
1871.42,5.73,67.96,46.0,57.98,74.47,1,0
476.86,16.11,1591.43,56.0,34.82,29.64,1,0
3735.21,6.12,2684.75,39.0,24.31,14.58,1,1
1315.99,12.27,1717.47,39.0,21.93,64.08,1,0
4684.38,22.77,1825.25,20.0,94.86,30.12,0,1
1208.65,9.15,2044.83,42.0,11.88,57.52,1,0
618.18,21.02,367.23,41.0,30.48,93.38,1,0
4156.41,23.69,2024.78,31.0,47.15,29.13,1,0
770.66,21.0,2641.06,32.0,0.04,51.25,1,1
900.45,3.98,2922.66,51.0,92.1,80.68,1,0
2998.92,19.67,1329.16,36.0,9.91,69.17,1,0
4373.44,0.77,1033.51,65.0,68.25,75.15,1,1
986.19,9.44,2259.93,24.0,62.89,77.26,0,0
1555.07,20.9,1628.62,51.0,80.91,53.99,0,0
3888.14,16.53,771.91,27.0,65.14,53.61,0,0
4859.27,12.79,516.47,48.0,76.94,71.89,1,0
2506.2,9.31,510.69,49.0,42.12,69.76,0,0
723.77,19.5,1377.53,55.0,48.87,67.01,0,0
74.61,17.03,510.37,42.0,70.17,38.21,0,1
1152.13,11.24,59.16,47.0,56.84,82.85,1,0
663.45,21.42,156.27,28.0,51.15,23.62,1,0
3389.91,5.52,2789.65,44.0,20.56,15.57,0,0
613.55,4.09,218.88,39.0,25.81,34.52,1,0
2534.12,15.43,219.54,56.0,35.85,25.38,0,0
3472.84,23.33,1353.57,43.0,0.93,66.32,0,1
2907.68,5.93,735.3,62.0,41.74,23.1,1,0
1002.88,5.99,2888.08,42.0,0.28,65.65,0,0
4021.6,3.35,2732.96,31.0,56.5,51.32,0,1
3578.46,20.65,1214.23,34.0,70.4,15.25,1,1
3696.23,5.43,1346.19,21.0,56.21,25.84,0,0
659.63,12.08,1125.34,49.0,69.35,52.17,1,0
623.15,23.78,113.6,65.0,0.0,73.31,0,0
4638.17,0.29,878.54,62.0,5.94,39.83,1,1
1990.9,13.36,368.02,43.0,69.85,23.28,1,0
1508.24,12.29,307.11,29.0,80.29,29.51,1,0
2445.48,19.38,1682.58,67.0,71.77,9.51,0,0
3316.01,8.53,296.29,21.0,66.3,2.51,1,1
4778.34,9.85,308.79,41.0,70.74,97.31,0,0
1435.8,4.03,1441.54,67.0,73.96,9.64,1,1
4624.42,17.78,1326.85,40.0,72.44,12.49,1,0
129.17,18.83,412.9,25.0,73.8,87.1,1,0
2778.21,3.28,13.35,33.0,7.4,66.35,1,0
3171.71,9.44,578.92,52.0,6.33,43.61,1,0
533.96,21.43,707.68,27.0,36.11,64.9,0,0
706.0,0.06,2400.75,55.0,52.76,93.5,1,0
2098.48,7.17,2746.32,43.0,76.26,9.94,1,0
4831.33,13.32,1217.83,37.0,33.47,24.37,0,0
2982.23,8.02,1215.08,32.0,27.51,86.03,0,1
4665.45,6.53,2137.44,65.0,78.14,78.06,1,0
4022.78,11.04,1880.77,41.0,24.93,99.43,1,0
2339.57,4.36,552.42,60.0,82.08,31.39,1,0
3924.89,12.71,323.07,43.0,17.71,94.49,0,0
94.09,16.96,1312.84,23.0,35.95,34.37,0,0
550.17,13.81,1694.49,43.0,40.11,71.51,0,0
4148.0,2.23,416.12,47.0,29.95,88.27,0,0
3985.1,20.27,879.82,44.0,0.34,17.08,0,1
1167.04,4.2,917.83,65.0,23.55,20.56,0,0
2656.19,18.36,783.89,70.0,33.77,58.1,1,0
3032.05,8.65,1382.28,63.0,31.36,84.38,0,1
4339.36,18.79,1959.19,51.0,78.56,7.89,0,1
3017.52,4.95,1528.17,49.0,4.74,85.09,0,0
2065.79,4.48,604.37,55.0,38.89,34.31,1,0
1874.05,11.93,308.82,34.0,3.75,40.62,1,0
2132.28,0.79,2465.61,64.0,93.06,33.99,0,1
3261.4,5.41,1437.91,67.0,79.02,91.15,1,0
4338.12,17.38,186.42,33.0,98.22,13.08,1,1
2272.21,20.1,774.36,69.0,91.02,57.43,0,0
1242.96,1.94,2412.1,66.0,31.58,14.81,1,0
1187.13,21.17,2255.18,42.0,69.16,92.86,1,0
3731.34,19.14,2627.45,70.0,30.66,79.79,0,0
4083.76,20.87,1806.26,25.0,88.82,23.38,1,1
530.86,16.76,1268.72,20.0,41.08,29.78,0,1
337.46,16.18,1279.9,38.0,37.59,38.15,0,0
2974.2,12.6,582.0,50.0,91.41,40.54,0,1
735.14,15.67,1952.4,38.0,83.67,81.73,0,0
4124.2,22.06,1755.21,72.0,96.64,56.45,1,1
1555.12,2.41,464.59,33.0,6.65,42.79,1,0
723.64,7.58,2656.99,34.0,24.33,71.94,0,0
4605.25,1.74,1105.4,54.0,30.09,45.79,0,1
831.83,22.68,149.22,18.0,42.44,12.82,1,0
1427.18,10.69,983.64,59.0,47.31,10.75,1,0
772.3,16.21,2609.57,40.0,29.15,32.6,1,0
581.87,20.19,2750.87,74.0,79.05,60.29,1,0
110.63,23.78,1471.2,57.0,22.32,13.48,1,0
281.7,3.88,2869.02,21.0,69.65,55.01,0,0
877.33,19.19,2625.73,23.0,85.18,26.96,1,1
271.64,21.3,2475.69,23.0,60.37,69.54,1,0
2957.76,1.17,2579.13,72.0,35.42,2.83,0,1
3405.17,18.1,1145.63,57.0,18.79,46.9,1,0
1971.18,8.51,2269.41,42.0,13.43,5.23,0,0
1593.37,15.57,1732.02,29.0,74.42,33.05,0,1
2525.11,12.34,2159.05,68.0,46.91,1.56,1,1
4375.65,6.23,533.36,29.0,4.63,46.91,0,1
4256.4,3.25,2194.18,58.0,98.38,76.7,0,1
222.16,2.81,2872.78,62.0,67.13,10.02,1,0
911.58,2.48,907.99,35.0,84.42,73.52,1,1
1187.54,15.31,2958.48,47.0,43.82,58.42,1,0
1250.69,8.43,1135.13,31.0,95.54,50.46,1,0
2858.31,5.2,599.17,40.0,19.95,59.95,1,0
2084.23,16.61,336.86,73.0,18.51,33.59,0,0
251.02,16.48,2354.89,58.0,89.03,71.03,0,0
1871.2,12.94,1664.48,66.0,89.17,77.97,0,0
2621.15,22.44,921.39,49.0,49.9,77.82,0,0
512.85,9.25,1825.35,32.0,12.58,26.95,0,1
4168.13,20.06,996.3,59.0,30.52,65.39,0,0
264.55,1.8,1345.07,47.0,75.42,14.81,0,1
4624.59,17.76,2587.99,28.0,84.6,49.54,0,1
500.07,23.72,2004.5,42.0,34.77,0.26,1,0
4218.66,20.32,2287.21,54.0,6.12,19.36,0,0
4513.75,13.91,1750.48,60.0,66.57,63.17,1,0
4897.96,15.04,2974.19,32.0,73.95,87.44,0,1
4011.12,8.48,724.23,68.0,42.4,4.9,0,0
3898.49,16.31,786.87,40.0,58.31,55.86,0,0
3214.2,18.49,277.68,33.0,98.74,63.68,1,0
3896.09,23.96,1662.06,29.0,24.5,93.24,1,1
677.09,11.82,1840.08,64.0,57.3,65.51,0,0
2682.66,1.47,2177.88,38.0,61.1,10.3,0,0
2573.54,14.3,1006.34,46.0,54.91,14.67,1,0
4288.57,2.86,36.77,31.0,86.91,63.58,0,0
2316.68,5.87,1896.69,57.0,60.5,21.56,1,1
1928.52,7.89,2996.09,63.0,50.79,92.83,1,1
3199.62,17.54,883.65,37.0,12.3,92.07,0,0
1335.98,4.41,551.8,72.0,70.32,94.87,1,1
703.14,3.98,845.3,20.0,13.21,29.3,1,1
2392.0,1.08,1276.25,26.0,2.66,71.69,1,0
2087.36,20.96,752.74,52.0,48.85,66.3,1,0
1166.69,16.64,1040.88,58.0,57.24,3.56,0,1
1840.72,0.96,1914.62,32.0,99.91,26.56,0,0
1835.13,0.68,1035.08,50.0,71.23,20.68,1,0
1640.84,13.41,1188.18,36.0,84.86,37.08,0,0
1900.42,6.78,120.09,50.0,34.64,95.31,0,0
3430.29,14.32,2753.83,56.0,50.89,84.56,1,0
1487.9,10.43,1220.66,73.0,97.43,29.34,0,0
4744.55,22.16,984.43,44.0,41.74,53.0,0,1
4582.16,6.91,259.45,55.0,80.73,19.23,1,0
2407.15,16.3,1902.55,51.0,52.6,27.74,0,0
1645.16,1.3,2591.47,36.0,22.4,6.5,1,0
2679.5,22.94,123.46,32.0,58.04,64.26,0,0
4243.56,23.54,435.82,74.0,21.81,65.69,0,0
3264.67,17.74,439.17,30.0,0.3,83.85,1,0
4022.94,11.17,1806.82,63.0,23.59,87.16,0,1
2665.95,5.28,2763.69,26.0,19.31,16.01,0,1
3166.42,19.5,1313.31,64.0,37.09,74.3,0,0
1444.34,17.67,1031.42,29.0,88.86,13.47,1,1
3675.79,5.33,2297.52,73.0,38.79,37.37,0,0
1016.01,10.83,2227.71,57.0,84.52,51.55,0,0
3475.52,11.11,740.27,23.0,55.56,4.95,0,1
4304.29,19.83,482.48,58.0,0.76,15.68,0,0
664.85,16.41,1073.43,52.0,18.87,27.11,0,0
3073.83,15.44,2326.81,37.0,93.13,12.75,1,1
480.0,15.6,2085.19,33.0,60.42,93.41,0,0
3629.95,6.49,1997.56,59.0,92.95,28.83,0,0
427.04,8.92,2488.29,60.0,31.01,50.12,0,0
4680.02,1.1,831.39,37.0,71.66,99.65,1,0
691.35,18.89,1019.05,68.0,77.2,56.66,0,0
4794.61,10.39,127.02,33.0,97.57,41.15,0,0
4005.42,10.52,2606.24,22.0,1.82,92.98,1,1
2970.44,5.89,1747.29,52.0,95.22,22.25,1,1
3914.21,5.03,894.37,24.0,39.16,17.95,1,0
3976.6,14.11,208.25,34.0,83.8,53.54,0,0
4730.41,5.58,2170.23,47.0,54.47,42.73,0,0
1270.65,1.54,2246.21,34.0,56.46,79.7,1,1
